EpicID,PlayerName,MaterialsFarmed,BuildsPlaced,WoodFarmed,StoneFarmed,MetalFarmed,WoodBuilds,StoneBuilds,MetalBuilds,Eliminations,DamageDealt,DamageTaken,ShotsHit
B858545C91C84B80955CE81C334C6CC7,"B858545C91C84B80955CE81C334C6CC7",0,0,0,0,0,0,0,0,0,276,549,8
9DD51E8032434F568459E61D30493F86,"9DD51E8032434F568459E61D30493F86",66648,515,21435,24000,21213,80,175,260,1,591,587,26
B6EF4EA24BD74E008E5E4C8F6F5E94F8,"B6EF4EA24BD74E008E5E4C8F6F5E94F8",98362,585,30179,33515,34668,350,95,140,6,1108,990,27
F429F28C9696425C8337D739A6C2A3E4,"F429F28C9696425C8337D739A6C2A3E4",71175,965,23900,22046,25229,420,165,380,0,281,617,6
2DFE73DC4B2A404D9D1D087EA53D3325,"2DFE73DC4B2A404D9D1D087EA53D3325",85743,910,31104,30933,23706,225,200,485,3,1087,1063,33
07A8CE27C9B24E12B5DA8BBCBF077B84,"07A8CE27C9B24E12B5DA8BBCBF077B84",56797,770,14627,19573,22597,325,400,45,1,382,807,9
9BD5773F67584E95BE48A04C5C5FFA25,"9BD5773F67584E95BE48A04C5C5FFA25",96550,380,32452,30159,33939,40,290,50,1,1212,1023,66
15F633C737004583A66EA3A008D68548,"15F633C737004583A66EA3A008D68548",55584,355,12721,18523,24340,95,230,30,0,225,575,8
ED79BED74B3D4EA9871B70A8BAFA413D,"ED79BED74B3D4EA9871B70A8BAFA413D",47821,660,14951,16697,16173,475,185,0,0,982,538,62
B1BD1E02CE1A417B8A14A1A423CDCE51,"B1BD1E02CE1A417B8A14A1A423CDCE51",69165,820,24225,22304,22636,190,385,245,8,1747,795,59
4B20D502B2204C1AB8CA7E160BEBC61F,"4B20D502B2204C1AB8CA7E160BEBC61F",75168,855,26733,28967,19468,95,350,410,5,893,493,23
8724F93AA73447C385BDA0D0ABD888FF,"8724F93AA73447C385BDA0D0ABD888FF",45056,865,13750,15147,16159,440,280,145,0,72,547,2
0A9141FD76E14E5888FD0684B486FD71,"0A9141FD76E14E5888FD0684B486FD71",102963,500,30717,33530,38716,185,245,70,2,1826,1240,41
E87E2AF5F5694807B1599725E246BA69,"E87E2AF5F5694807B1599725E246BA69",16309,120,4735,6213,5361,110,0,10,0,794,880,23
0C6CB8D0A4EB46EDB3F88BFC094EB821,"0C6CB8D0A4EB46EDB3F88BFC094EB821",51751,610,17452,17974,16325,0,305,305,2,510,991,15
E07659FCDA3C4E79BE24BACF09544E30,"E07659FCDA3C4E79BE24BACF09544E30",183555,3610,65939,49815,67801,295,2520,795,1,1103,930,34
351526152E8D472984ECDC5EF92DBF02,"351526152E8D472984ECDC5EF92DBF02",116705,1420,36922,38845,40938,475,650,295,1,724,719,26
E425E0AD8BE749A99395FEA3AD3C8ACE,"E425E0AD8BE749A99395FEA3AD3C8ACE",24074,990,7208,8711,8155,180,105,705,2,1556,1348,39
F14C63450E6F48C69ABB98CBA829AC59,"F14C63450E6F48C69ABB98CBA829AC59",0,0,0,0,0,0,0,0,2,381,871,11
5897559B56F54069B7647C6FD9902677,"5897559B56F54069B7647C6FD9902677",84287,1850,26841,26651,30795,420,1285,145,2,1196,1355,33
