ReplayId,EpicId,PlayerName,TeamIndex,Eliminations,WasRebooted,AliveSeconds,ZonesSurvived,TotalBuildsPlaced,WoodBuildsPlaced,StoneBuildsPlaced,MetalBuildsPlaced,WallsPlaced,FloorsPlaced,StairsPlaced,RoofsPlaced,BuildsEdited,BuildsDestroyed,DamageDealt,DamagePerMinute,DamageTaken,ShotsHit,TotalMaterialsHarvested,WoodHarvested,StoneHarvested,MetalHarvested,HarvestActions
01f558a657084f5795974074f3e72c68,38452bd022084c1094ceee32c9df20cd,"koa 水ǃ",32,0,0,460.50,3,42,30,12,0,29,3,10,0,0,0,0.00,0.00,279.00,0,0,0,0,0,0
01f558a657084f5795974074f3e72c68,4705fb65147f432e92bbcbaef8d91c71,"Life RKF かぷおんきんぐ",20,3,0,360.08,2,54,21,22,11,25,7,10,12,0,0,504.00,23.28,351.00,9,0,0,0,0,0
01f558a657084f5795974074f3e72c68,4948d2f67f464cd0a34edca29fffb0cd,"やはりまめはデビ３",8,0,0,898.51,3,181,93,19,69,79,39,46,17,0,0,215.00,9.93,706.00,4,0,0,0,0,0
01f558a657084f5795974074f3e72c68,1f656467fb184f17a80ad086502d8f4c,"tzd wagersfvǃ",3,1,0,236.88,1,36,14,14,8,21,6,3,6,0,0,141.00,6.51,305.00,4,0,0,0,0,0
01f558a657084f5795974074f3e72c68,7a9a7521eb214bf99d1879d7cedd7f43,"蒼炎の凪Ӝ皆実雫と綾小路清隆",35,3,0,784.70,2,37,34,3,0,16,6,15,0,0,0,519.00,23.98,434.00,19,0,0,0,0,0
01f558a657084f5795974074f3e72c68,6f0d5d52ddc54d79bc6111366920f982,"Zip_oq",13,0,0,675.61,4,43,39,4,0,19,7,12,5,0,0,216.00,9.98,462.00,2,0,0,0,0,0
01f558a657084f5795974074f3e72c68,a39539d5589747d7867bc4efa1a911dd,"rukafv",15,0,0,747.40,0,67,31,27,9,24,16,17,10,0,0,98.00,4.53,334.00,6,0,0,0,0,0
01f558a657084f5795974074f3e72c68,16e6f7ad72d049a689dfdcee27fb3069,"しゅりん o0o",15,1,0,835.09,2,134,63,60,11,62,24,28,20,0,0,373.00,17.23,442.00,12,0,0,0,0,0
01f558a657084f5795974074f3e72c68,33612fc055174c6f81687acb20624203,"もう一度あなたと居られるのなら",3,0,0,501.69,0,12,12,0,0,3,0,6,3,0,0,94.00,4.34,415.00,1,0,0,0,0,0
01f558a657084f5795974074f3e72c68,5b0484496f3342f396bb495673c1c0f4,"9mm vanei4丰",14,0,0,53.39,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,150.00,0,0,0,0,0,0
01f558a657084f5795974074f3e72c68,67abf628dcd94ffcbafcab70118cfe10,"MrMeruEz.",41,0,0,1181.18,10,139,28,76,35,63,34,8,34,0,0,32.00,1.48,298.00,1,0,0,0,0,0
01f558a657084f5795974074f3e72c68,2e1c12d3b5e546dba7c0d51fa38a6545,"dwesty brr brr",21,1,0,233.40,1,51,32,9,10,24,7,16,4,0,0,172.00,7.95,373.00,3,0,0,0,0,0
01f558a657084f5795974074f3e72c68,076112a9c6fe4d89a0f11a46f1ae3aeb,"FBV Kuwagata IGL",26,3,0,1207.60,10,349,132,102,115,159,75,31,84,0,0,458.00,21.16,222.00,22,0,0,0,0,0
01f558a657084f5795974074f3e72c68,1018cbe3e5cd4b0884dad2bd6a45fa7c,"Raykow 23 メ",21,0,0,223.48,1,40,18,19,3,16,10,11,3,0,0,96.00,4.43,227.00,3,0,0,0,0,0
01f558a657084f5795974074f3e72c68,d01549982f9d4c068c3e6f7b020e78ac,"NIL Zefir",27,1,0,311.40,2,28,23,5,0,14,9,3,2,0,0,187.00,8.64,362.00,4,0,0,0,0,0
01f558a657084f5795974074f3e72c68,8623a8a7615843a78e88a78e15c6be5b,"KP猫",29,0,0,320.19,2,56,40,4,12,28,9,9,10,0,0,180.00,8.32,258.00,8,0,0,0,0,0
01f558a657084f5795974074f3e72c68,523dcf14ada34896a5fee8c6dbae87b2,"Андрей стрекоза",19,1,0,61.42,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0
01f558a657084f5795974074f3e72c68,07c728010c8545ebb3bf330baf87b264,"RKF 俺使えやfvǃǃ",20,0,0,154.61,1,7,7,0,0,6,0,1,0,0,0,126.00,5.82,243.00,6,0,0,0,0,0
01f558a657084f5795974074f3e72c68,2804ca5585f84e9985ad362d58849ac9,"hxribo75",27,0,0,259.92,1,0,0,0,0,0,0,0,0,0,0,18.00,0.83,172.00,1,0,0,0,0,0
01f558a657084f5795974074f3e72c68,d2de32b1cedb449b98514b3645cc4f0b,"miya fv",11,0,0,254.10,1,53,33,9,11,42,6,5,0,0,0,59.00,2.73,312.00,4,0,0,0,0,0
01f558a657084f5795974074f3e72c68,cc662267b419437cbe7eabd334d6e014,"витя skeletrix",14,0,0,135.01,1,4,0,0,4,4,0,0,0,0,0,112.00,5.17,165.00,3,0,0,0,0,0
01f558a657084f5795974074f3e72c68,d07024fd111b4b7aad6d09371fd55dfb,"はやと0823負けたことない໒",13,0,0,649.10,4,37,37,0,0,27,3,4,3,0,0,21.00,0.97,384.00,1,0,0,0,0,0
01f558a657084f5795974074f3e72c68,b17ce90a7e1b457ab284a489491866fb,"Airbotǃ",32,0,0,447.01,2,13,13,0,0,8,1,4,0,0,0,84.00,3.88,166.00,1,0,0,0,0,0
01f558a657084f5795974074f3e72c68,5dd107dc26e34735817264612887467d,"Rialyǃǃ",41,0,0,1131.80,9,91,45,17,29,45,18,7,21,0,0,0.00,0.00,450.00,0,0,0,0,0,0
01f558a657084f5795974074f3e72c68,ae3ef33ef3994c65a175f988e829092c,"Axis-R 王ドラ 兎",8,4,0,898.42,6,139,108,31,0,63,14,44,18,0,0,1157.00,53.45,402.00,28,0,0,0,0,0
01f558a657084f5795974074f3e72c68,256d2452137f41ba98a4faeba20b872b,"めぐみんNo.1",29,0,0,165.91,1,36,35,1,0,28,2,1,5,0,0,283.00,13.07,251.00,3,0,0,0,0,0
01f558a657084f5795974074f3e72c68,3c18662c42f8497bb7cd6d752c17d59e,"りむだよǃ",40,0,0,982.02,7,99,50,49,0,46,6,18,29,0,0,35.00,1.62,402.00,5,0,0,0,0,0
01f558a657084f5795974074f3e72c68,4c610c982e6549ac923b1cb6fb2ac425,"Noël くれあ",11,0,0,242.01,1,30,9,0,21,19,6,4,1,0,0,127.00,5.87,193.00,2,0,0,0,0,0
01f558a657084f5795974074f3e72c68,fde49e8d150e4bdaa06830823fe25bf5,"TEIL sharc",12,0,0,157.42,1,7,3,1,3,6,0,1,0,0,0,35.00,1.62,232.00,3,0,0,0,0,0
01f558a657084f5795974074f3e72c68,c14c6bb4cdee4415a50572699fc27b1b,"おいらが行くしかねぇなǃǃ",28,0,0,1239.01,11,72,23,47,2,36,12,6,18,0,0,246.00,11.36,310.00,8,0,0,0,0,0
01f558a657084f5795974074f3e72c68,8eb7b475035145eb86adc81f822ff938,"ろーどいんたいかなしい",38,6,0,1297.63,12,350,214,103,33,157,75,47,71,0,0,1617.00,74.70,762.00,49,0,0,0,0,0
01f558a657084f5795974074f3e72c68,5c518e75b80b46fca201a2910c335be7,"tobes14shot",16,0,0,99.09,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,75.00,0,0,0,0,0,0
01f558a657084f5795974074f3e72c68,d879254bc1c74237a5c1fc0217e40910,"ニセモノのるな",18,2,0,383.48,2,65,29,23,13,29,22,9,5,0,0,376.00,17.37,305.00,11,0,0,0,0,0
01f558a657084f5795974074f3e72c68,b3dbeb960ce741dcbcd1b6f0668bab25,"日替わり女児定食",31,0,0,607.01,4,57,37,20,0,30,15,8,4,0,0,244.00,11.27,307.00,8,0,0,0,0,0
01f558a657084f5795974074f3e72c68,6c0f65fc371f486a958d5c6d86f3067c,"RC zenn",25,0,0,565.69,3,76,50,26,0,45,11,9,11,0,0,0.00,0.00,371.00,0,0,0,0,0,0
01f558a657084f5795974074f3e72c68,7672d7dc34464df5a6b491c6c28cecf4,"CLP うむǃ",38,2,0,1259.95,12,417,196,113,108,190,133,39,55,0,0,1187.00,54.83,412.00,43,0,0,0,0,0
01f558a657084f5795974074f3e72c68,b9ee0b7b2d1c4a1f9050db9783873927,"spotifySdmSnazzy",9,0,0,893.14,6,69,30,39,0,43,8,7,11,0,0,55.00,2.54,732.00,3,0,0,0,0,0
01f558a657084f5795974074f3e72c68,b3b3eb9734534806a832dd28680cde3b,"初心者クマケマ君Ж",24,0,0,260.32,1,12,12,0,0,6,1,4,1,0,0,120.00,5.54,152.00,4,0,0,0,0,0
01f558a657084f5795974074f3e72c68,fba14a7d6fc342ba9599c6afa9f2c568,"EPF さいきょうまきしまむv2",10,16,0,1292.52,12,350,164,87,99,149,75,93,33,0,0,3808.00,175.92,897.00,81,0,0,0,0,0
01f558a657084f5795974074f3e72c68,50a05c50ca0245dd92ea829ca34f4a8d,"Lel しんしん",39,2,0,1148.09,9,152,115,28,9,66,30,36,20,0,0,347.00,16.03,361.00,13,0,0,0,0,0
01f558a657084f5795974074f3e72c68,9b2a992c383442248b012022f95be67e,"大学受験嫌だ",34,0,0,104.60,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,140.00,0,0,0,0,0,0
01f558a657084f5795974074f3e72c68,055121bef18147eeb66b88fd7c40ab5b,"トモトモトモキ",35,0,0,812.65,6,53,24,29,0,20,12,17,4,0,0,135.00,6.24,344.00,5,0,0,0,0,0
01f558a657084f5795974074f3e72c68,8ef4785cc1bc468c9f86f11e747a3460,"NSS PINE タコピー幸運",36,0,0,11.96,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0
01f558a657084f5795974074f3e72c68,2860ff05ec054a769015b7b30c84cdc3,"Claire-Rめいるりすぺくと",33,1,0,1050.23,8,63,20,34,9,38,6,10,9,0,0,542.00,25.04,568.00,19,0,0,0,0,0
01f558a657084f5795974074f3e72c68,3a451596a88e4709b5f37bc84f57e5f4,"WTLsteph",9,0,0,903.34,6,42,3,39,0,33,3,1,5,0,0,0.00,0.00,180.00,0,0,0,0,0,0
01f558a657084f5795974074f3e72c68,2e47421443f14fa1aa0332d40b0f3840,"FLC Vic0sfvㇱ",30,0,0,179.53,1,11,10,1,0,4,3,4,0,0,0,150.00,6.93,97.00,6,0,0,0,0,0
01f558a657084f5795974074f3e72c68,573b05d4a84a4a989816476123419a86,"ホンモノのるな",18,0,0,335.73,1,18,12,2,4,8,2,7,1,0,0,407.00,18.80,324.00,17,0,0,0,0,0
01f558a657084f5795974074f3e72c68,283527840a6d427788b1461216af6f06,"Ýouþuℬe",23,1,0,552.93,3,58,48,10,0,32,5,18,3,0,0,250.00,11.55,342.00,10,0,0,0,0,0
01f558a657084f5795974074f3e72c68,062b103a9d6049a0a2e7e83b764a720d,"豚マヨ星人",26,4,0,1204.62,10,108,87,20,1,70,16,11,11,0,0,419.00,19.36,652.00,10,0,0,0,0,0
