ReplayID,EpicID,PlayerName,TotalBuildsPlaced,WoodBuildsPlaced,StoneBuildsPlaced,MetalBuildsPlaced,WallsPlaced,FloorsPlaced,StairsPlaced,RoofsPlaced,BuildsEdited,BuildsDestroyed,Eliminations,DamageDealt,DamageTaken,ShotsHit,TotalMaterialsHarvested,WoodHarvested,StoneHarvested,MetalHarvested,HarvestActions
33ac1cf5d549465da756c3bbe330c6bb,f48fda3d4bcf4caebee4f38ca2dd146f,"plaazyǃ",0,0,0,0,0,0,0,0,0,0,2,713,590,22,32,21,11,0,32
33ac1cf5d549465da756c3bbe330c6bb,e8e6c5346fe646ba8fa5dc37002eb22d,"nocifの",0,0,0,0,0,0,0,0,0,0,0,157,323,3,18,9,7,2,18
33ac1cf5d549465da756c3bbe330c6bb,452188b2443d4d8984e0d0d82a1989bc,"User-5b18f09707",0,0,0,0,0,0,0,0,0,0,2,357,342,8,2,0,1,1,2
33ac1cf5d549465da756c3bbe330c6bb,6e0c7806573c4e3ea736f141fdeb7a45,"Pirozz yhyh",0,0,0,0,0,0,0,0,0,0,0,539,763,19,20,16,3,1,20
33ac1cf5d549465da756c3bbe330c6bb,8058815477494a9f9fd1eb77dfbf3b27,"EOZ chriscǃ",0,0,0,0,0,0,0,0,0,0,7,668,821,25,33,22,9,2,33
33ac1cf5d549465da756c3bbe330c6bb,57e2f597d5994e059a94117f6cdcfd41,"Detect NeFrizi",0,0,0,0,0,0,0,0,0,0,0,72,205,4,0,0,0,0,0
33ac1cf5d549465da756c3bbe330c6bb,58f95defeaaa4a448d7b291c66c95f43,"ghоst 1",0,0,0,0,0,0,0,0,0,0,6,967,881,30,34,20,9,5,34
33ac1cf5d549465da756c3bbe330c6bb,a3b5ee127c7a4fc5928a33ecab81fdd8,"zoom3rx 1966",0,0,0,0,0,0,0,0,0,0,0,72,165,2,0,0,0,0,0
33ac1cf5d549465da756c3bbe330c6bb,2e9fcf8c4acf43b182b5eb5c324678f3,"kr4t4yǃ",0,0,0,0,0,0,0,0,0,0,0,38,277,1,5,3,2,0,5
33ac1cf5d549465da756c3bbe330c6bb,862da77724af4eb88f520ff44d895f9c,"prism ǃ",0,0,0,0,0,0,0,0,0,0,0,68,203,2,2,0,2,0,2
33ac1cf5d549465da756c3bbe330c6bb,ca36e50b4d0e46cbbac3812cbcf884ad,"Fnаjen",0,0,0,0,0,0,0,0,0,0,0,541,1035,23,26,20,6,0,26
33ac1cf5d549465da756c3bbe330c6bb,7dce4c8550524de4baec83e239ba9cde,"DKZ BIMBO",0,0,0,0,0,0,0,0,0,0,2,282,193,5,1,0,0,1,1
33ac1cf5d549465da756c3bbe330c6bb,d96a05bc907e4ccdafdf6c785f202246,"One iggybotǃ",0,0,0,0,0,0,0,0,0,0,0,40,244,2,4,4,0,0,4
33ac1cf5d549465da756c3bbe330c6bb,239f506363e74b2794a4b1327ce3652d,"destruu.",0,0,0,0,0,0,0,0,0,0,0,1042,472,30,20,13,6,1,20
33ac1cf5d549465da756c3bbe330c6bb,072e8b9f8188405ab0eb52544e1dc906,"M8 Swizzy4xǃ",0,0,0,0,0,0,0,0,0,0,8,2415,968,60,18,10,8,0,18
33ac1cf5d549465da756c3bbe330c6bb,42505c0f5f4d47b6b0fab33fa4442273,"ASP Hlechis",0,0,0,0,0,0,0,0,0,0,0,92,202,6,1,1,0,0,1
33ac1cf5d549465da756c3bbe330c6bb,0c2dfa00288148e388f09f1643b0c324,"one wavÿǃ",0,0,0,0,0,0,0,0,0,0,0,273,765,8,9,5,4,0,9
33ac1cf5d549465da756c3bbe330c6bb,79f1994f55eb4931a148935efa188b2f,"M8 Vanyak3k",0,0,0,0,0,0,0,0,0,0,8,1010,1065,28,26,16,9,1,26
33ac1cf5d549465da756c3bbe330c6bb,b623eb2550ef490a8816695be5135b31,"Kjeld live",0,0,0,0,0,0,0,0,0,0,2,462,349,12,7,1,5,1,7
33ac1cf5d549465da756c3bbe330c6bb,2d7593fe45d1429f8852fbddfe04e0b0,"Loverofvvǃ",0,0,0,0,0,0,0,0,0,0,3,317,292,10,5,3,2,0,5
33ac1cf5d549465da756c3bbe330c6bb,9100ee5c1dd84b42ac31aa16eb138290,"J4KOBZZZ",0,0,0,0,0,0,0,0,0,0,0,142,90,8,0,0,0,0,0
33ac1cf5d549465da756c3bbe330c6bb,99318c7303c541cdb52133a9e6380979,"izziGOTY",0,0,0,0,0,0,0,0,0,0,2,541,655,22,21,12,8,1,21
33ac1cf5d549465da756c3bbe330c6bb,d533edd3b067498eb06348e146832b27,"ve1ryyǃ",0,0,0,0,0,0,0,0,0,0,0,124,343,4,0,0,0,0,0
33ac1cf5d549465da756c3bbe330c6bb,7d1f980cdd974e2cb291477e8d9ecab6,"G13ras",0,0,0,0,0,0,0,0,0,0,2,917,907,30,36,21,12,3,36
33ac1cf5d549465da756c3bbe330c6bb,a593edd8f48a4b4f9b89ef544ca9db4f,"PB Moneymaker",0,0,0,0,0,0,0,0,0,0,4,548,1007,14,13,9,4,0,13
33ac1cf5d549465da756c3bbe330c6bb,0e23af0f79134f9087314bdacb48e302,"G3nZ zahyaǃ",0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0
33ac1cf5d549465da756c3bbe330c6bb,81b5dff316fd4660809fc00c84ae0135,"ASP Stormyrite 7",0,0,0,0,0,0,0,0,0,0,0,0,243,0,1,1,0,0,1
33ac1cf5d549465da756c3bbe330c6bb,ae2a98a53af14c07bf735d9df804c8d1,"fe1novak",0,0,0,0,0,0,0,0,0,0,0,73,340,1,1,0,0,1,1
33ac1cf5d549465da756c3bbe330c6bb,e4115f8c8b13403383f7753895162953,"Casperinovic",0,0,0,0,0,0,0,0,0,0,0,0,307,0,4,2,2,0,4
33ac1cf5d549465da756c3bbe330c6bb,5ffcd882fbf945abb9d4afe0348df688,"rovex 7",0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0
33ac1cf5d549465da756c3bbe330c6bb,f707b4471ab247f491943f3ea2a8e3b3,"FLC Th3Tio",0,0,0,0,0,0,0,0,0,0,2,266,299,11,17,11,4,2,17
33ac1cf5d549465da756c3bbe330c6bb,980acb394091440799af3c2378590ba7,"ROBBABKEBAB",0,0,0,0,0,0,0,0,0,0,4,842,634,21,66,45,13,8,66
33ac1cf5d549465da756c3bbe330c6bb,7839296b51844f738737c6ebb50f1365,"fl deyanǃ",702,155,350,197,427,76,67,132,23,1,0,0,590,0,1,1,0,0,1
33ac1cf5d549465da756c3bbe330c6bb,35298586e42c46e3a18922a24ba4c81f,"Buzzbusy",371,307,64,0,149,89,87,46,6,2,5,596,115,19,22,9,11,2,22
33ac1cf5d549465da756c3bbe330c6bb,01ae7eb0a36143dc9cb23a091cf6aaf6,"NStar wheatǃ",0,0,0,0,0,0,0,0,0,0,1,144,170,10,2,2,0,0,2
33ac1cf5d549465da756c3bbe330c6bb,c55df86e222a49099d51c89c9c8c5f54,"Axeforce.",0,0,0,0,0,0,0,0,0,0,2,400,576,18,38,21,15,2,38
33ac1cf5d549465da756c3bbe330c6bb,cac98cff201c4719972c450901d178fa,"Fury柴",249,44,205,0,90,31,101,27,25,1,0,232,395,8,20,9,10,1,20
33ac1cf5d549465da756c3bbe330c6bb,b3df1be9574b4cc8aa736447ab61644c,"BIG volko 64",853,272,431,150,405,202,136,110,53,2,0,409,693,11,25,18,7,0,25
33ac1cf5d549465da756c3bbe330c6bb,fc8150799c0243c9943ec12fed001ad4,"yali haplatypusǃ",366,129,118,119,153,74,110,29,10,0,1,383,251,5,11,5,6,0,11
33ac1cf5d549465da756c3bbe330c6bb,35b20277def3479aa1111d865916792a,"ENCE GODOYY 9",638,215,252,171,290,122,165,61,28,2,3,792,1234,19,18,7,9,2,18
33ac1cf5d549465da756c3bbe330c6bb,4ff0b25ec7c24ec1a85fd5a2c490a7cc,"Flawless Trusio",0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0
33ac1cf5d549465da756c3bbe330c6bb,b85100aed4d44fe0b4905b4c1878474e,"2R Splasheax",645,284,174,187,321,117,83,124,16,1,3,566,817,17,12,5,7,0,12
