ReplayId,EpicId,PlayerName,TeamIndex,Eliminations,WasRebooted,AliveSeconds,ZonesSurvived,TotalBuildsPlaced,WoodBuildsPlaced,StoneBuildsPlaced,MetalBuildsPlaced,WallsPlaced,FloorsPlaced,StairsPlaced,RoofsPlaced,BuildsEdited,BuildsDestroyed,DamageDealt,DamagePerMinute,DamageTaken,ShotsHit,TotalMaterialsHarvested,WoodHarvested,StoneHarvested,MetalHarvested,HarvestActions
99213d64337b43ee918c5bfaa0f8a1e0,4e9e3dd0f5404026a376135e0bc091c1,"kashfv",34,1,0,1499.68,10,397,190,129,78,197,84,62,54,0,0,317.00,11.11,544.00,11,24,14,9,1,24
99213d64337b43ee918c5bfaa0f8a1e0,34be5b8a42014cbbbfad196fec37e0ce,"wtj cyclops",32,0,0,344.91,1,25,10,13,2,10,6,3,6,0,0,0.00,0.00,210.00,0,13,6,7,0,13
99213d64337b43ee918c5bfaa0f8a1e0,59ecdc556f094a379ed00a7e104a1ccb,"hyc carbonitoえ",24,3,0,1519.69,11,156,98,38,20,74,24,29,29,0,0,677.00,23.74,840.00,21,20,13,7,0,20
99213d64337b43ee918c5bfaa0f8a1e0,bce270604551411ab0a7ffcac5f058e0,"xen boltzǃ",40,0,0,1231.47,7,125,76,49,0,56,10,33,26,0,0,486.00,17.04,336.00,14,17,10,7,0,17
99213d64337b43ee918c5bfaa0f8a1e0,9868429b133a42b8a43f737887da4673,"M8 Pоlloǃ",25,2,0,1336.47,8,155,61,32,62,68,35,30,22,0,0,538.00,18.86,528.00,18,57,25,22,10,57
99213d64337b43ee918c5bfaa0f8a1e0,c17bac91e57e4ab58cc5c4e9d846afc5,"twitch braydz",28,1,0,1521.98,11,163,80,62,21,96,30,27,10,0,0,524.00,18.37,644.00,13,12,5,4,3,12
99213d64337b43ee918c5bfaa0f8a1e0,edf9381adfbc4f67ade874738bd5c850,"grapidinhoǃ",47,0,0,861.96,4,91,47,44,0,60,5,12,14,0,0,210.00,7.36,204.00,4,15,7,6,2,15
99213d64337b43ee918c5bfaa0f8a1e0,15575f3b849e4e2ead20b6a33b7a4096,"wtj liam 1",21,3,0,1530.57,11,334,44,178,112,145,77,20,92,0,0,949.00,33.27,460.00,29,18,9,7,2,18
99213d64337b43ee918c5bfaa0f8a1e0,f40031c339f444659efb19a1e78c2207,"vet decay 624",39,0,0,863.47,4,141,105,36,0,63,24,42,12,0,0,290.00,10.17,555.00,10,19,11,7,1,19
99213d64337b43ee918c5bfaa0f8a1e0,c67d2b8db16e4e8a91465274399eae22,"2AM Darts 40ǃ",5,0,0,1243.37,7,285,80,170,35,135,48,66,36,0,0,227.00,7.96,788.00,7,27,18,7,2,27
99213d64337b43ee918c5bfaa0f8a1e0,31848a286aab4dcaac110d216bf7acdc,"AG ChaosGaming",32,0,0,344.91,1,32,11,6,15,13,5,6,8,0,0,0.00,0.00,201.00,0,5,3,0,2,5
99213d64337b43ee918c5bfaa0f8a1e0,f0cca973b6134dd0b99f1352712920ba,"employedfv",26,1,0,607.16,0,57,46,11,0,30,9,10,8,0,0,292.00,10.24,526.00,6,15,11,4,0,15
99213d64337b43ee918c5bfaa0f8a1e0,a28109ddbeb748ad93b94e205e5a2048,"wtj mrvergo1k-_-",19,3,0,1491.69,2,253,136,94,23,153,43,34,23,0,0,637.00,22.33,1034.00,14,14,12,2,0,14
99213d64337b43ee918c5bfaa0f8a1e0,3c90b3fb59bf4176a22916fa353b0e24,"powerfnǃ",21,2,0,1593.87,12,341,152,128,61,171,79,31,60,0,0,660.00,23.14,816.00,23,13,9,3,1,13
99213d64337b43ee918c5bfaa0f8a1e0,32018a827e85492ba143f5755b998c36,"Hide n Sеek",24,2,0,1519.69,11,295,116,101,78,148,45,40,62,0,0,672.00,23.56,521.00,17,26,17,9,0,26
99213d64337b43ee918c5bfaa0f8a1e0,2d91ad40c7384c8a9c12c4c295450d78,"dig аcorn4x",40,1,0,1453.08,2,235,100,83,52,109,41,39,46,0,0,507.00,17.78,553.00,18,14,10,4,0,14
99213d64337b43ee918c5bfaa0f8a1e0,16674f694dd8417a9083c1f6d6ce3ada,"arsenic1771",26,1,0,607.16,3,98,29,66,3,42,14,22,20,0,0,395.00,13.85,213.00,11,17,8,7,2,17
99213d64337b43ee918c5bfaa0f8a1e0,b57f481d7e3a4346a40691b757ffd55c,"twtr muskyggsǃ",27,0,0,358.06,0,23,8,15,0,18,1,2,2,0,0,258.00,9.05,446.00,7,16,14,1,1,16
99213d64337b43ee918c5bfaa0f8a1e0,8083746961b348dcb171387ce00f78c8,"ayokod",34,2,0,1495.88,10,268,127,107,34,137,62,40,29,0,0,697.00,24.44,738.00,16,23,10,13,0,23
99213d64337b43ee918c5bfaa0f8a1e0,debf17bc93bd4e5da57aea2fd16cd90e,"evolvedwsl キ",18,0,0,1049.88,5,155,56,91,8,58,24,42,31,0,0,392.00,13.74,560.00,9,11,8,3,0,11
99213d64337b43ee918c5bfaa0f8a1e0,f2df9855d49a4b08a934e802eb21619b,"twitch rezyfnxx",19,2,0,1477.89,8,477,171,178,128,249,105,39,84,0,0,1004.00,35.20,919.00,13,15,9,5,1,15
99213d64337b43ee918c5bfaa0f8a1e0,0db2c1c50154427ba1ce396b91d266a8,"Visxals",28,1,0,1512.88,10,322,112,128,82,123,52,80,67,0,0,543.00,19.04,654.00,18,28,14,14,0,28
99213d64337b43ee918c5bfaa0f8a1e0,b2daceaf36ff4c76bcaf0ab9ce6a7302,"mrn avengerǃ",41,3,0,1508.59,2,325,111,143,71,164,79,50,32,0,0,973.00,34.11,926.00,22,18,10,8,0,18
99213d64337b43ee918c5bfaa0f8a1e0,3c27967d8aab41c1876367a7b121aa66,"aim 41",41,5,0,1447.27,9,263,98,101,64,110,50,50,53,0,0,1104.00,38.71,675.00,29,22,10,12,0,22
99213d64337b43ee918c5bfaa0f8a1e0,45ce4565b6db452c9419119b12e7eac3,"falcon peterbotǃ",25,1,0,1336.47,8,277,147,75,55,115,39,36,87,0,0,555.00,19.46,695.00,18,18,10,6,2,18
99213d64337b43ee918c5bfaa0f8a1e0,aacd3f74cac541d2b528a162ed00a741,"bullyslayrr",5,0,0,1282.88,7,304,92,149,63,171,57,30,46,0,0,114.00,4.00,674.00,4,24,14,10,0,24
99213d64337b43ee918c5bfaa0f8a1e0,59821f46b7a74a09ba34c79bc66fa47e,"wtj ceneto7v",43,2,0,1348.20,8,265,72,116,77,112,56,36,61,0,0,166.00,5.82,630.00,4,54,35,15,4,54
99213d64337b43ee918c5bfaa0f8a1e0,a7b6ee6ee75447ba8c2fd13aa92c1748,"preston4321ǃ",43,3,0,1340.88,8,187,86,81,20,108,19,44,16,0,0,617.00,21.63,802.00,13,21,11,10,0,21
99213d64337b43ee918c5bfaa0f8a1e0,fe850b9befb741408da6695e5cf968b6,"Twitch Hakkioo",47,0,0,993.67,5,148,96,49,3,101,15,23,9,0,0,324.00,11.36,223.00,11,12,6,5,1,12
99213d64337b43ee918c5bfaa0f8a1e0,6778478ddf8e46ab84d2be89ddf22b8e,"geno 271ǃ",18,2,0,1435.56,9,369,187,126,56,180,72,64,53,0,0,657.00,23.04,893.00,19,15,10,4,1,15
99213d64337b43ee918c5bfaa0f8a1e0,f6dbee655d5d4501b597ca3d3fb4a0ce,"channce 24",11,4,0,1627.57,12,455,184,170,101,222,83,48,102,0,0,1171.00,41.06,550.00,29,30,21,8,1,30
99213d64337b43ee918c5bfaa0f8a1e0,60a90ccde34a4940aadc84fa4cd08120,"azera chris",39,0,0,1203.77,7,245,110,88,47,118,73,30,24,0,0,398.00,13.95,354.00,10,60,44,14,2,60
99213d64337b43ee918c5bfaa0f8a1e0,ecc9438fe2c24ef39574c31cb4fcffe9,"twitter gabxfn1",4,1,0,1454.28,9,234,84,86,64,128,35,30,41,0,0,571.00,20.02,740.00,13,8,7,1,0,8
99213d64337b43ee918c5bfaa0f8a1e0,bca4a626-f027-480e-ae6c-9cfaf4c95172,"",0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0
99213d64337b43ee918c5bfaa0f8a1e0,5d825825c59645c9831444e6a070cf4d,"srg masonǃ",11,4,0,1627.44,12,343,79,138,126,183,69,39,52,0,0,1355.00,47.51,914.00,29,17,9,8,0,17
99213d64337b43ee918c5bfaa0f8a1e0,cb82aceb58eb4fdab88c33d5e4e89619,"Kingstonǃ",27,0,0,377.01,2,52,21,26,5,33,1,12,6,0,0,0.00,0.00,300.00,0,12,3,8,1,12
99213d64337b43ee918c5bfaa0f8a1e0,234887ea510f41d48d59e3042f944c6e,"XSET Muzǃ",45,0,0,1439.72,9,122,40,65,17,57,26,25,14,0,0,802.00,28.12,668.00,24,16,11,5,0,16
99213d64337b43ee918c5bfaa0f8a1e0,3ce9c64d8286489480d1aceeb206589a,"XSET Higgsǃ",48,4,0,1661.10,12,493,67,240,186,185,121,66,121,0,0,581.00,20.37,417.00,19,13,10,3,0,13
99213d64337b43ee918c5bfaa0f8a1e0,9d753f5abe9b43fa9915ff04a54ca3f0,"Elite Eomzo",37,2,0,1439.54,9,156,29,80,47,81,34,21,20,0,0,840.00,29.45,371.00,26,20,15,4,1,20
99213d64337b43ee918c5bfaa0f8a1e0,84460e9693af4abe98bcc1411260e46a,"Xapix3",50,0,0,1379.01,8,147,81,34,32,74,28,33,12,0,0,119.00,4.17,214.00,4,31,22,8,1,31
99213d64337b43ee918c5bfaa0f8a1e0,783989b74b06470484f607bbeaca23cd,"Dansskkiii",7,0,0,684.28,3,132,53,67,12,54,32,15,31,0,0,416.00,14.59,366.00,9,15,10,4,1,15
99213d64337b43ee918c5bfaa0f8a1e0,bae963329e3046d394f2d72883919cbf,"ark kirillianǃ",22,0,0,1259.28,7,118,34,15,69,72,16,14,16,0,0,686.00,24.05,286.00,19,32,20,12,0,32
99213d64337b43ee918c5bfaa0f8a1e0,556f8cc4a66947999db8888e3339a5fc,"monto темны друн",50,0,0,1321.98,8,88,6,56,26,40,16,21,11,0,0,171.00,6.00,162.00,5,26,16,9,1,26
99213d64337b43ee918c5bfaa0f8a1e0,8c54d5ee92554d818c96a7f7d01a9b9b,"ManCity Threats",14,0,0,1565.59,10,183,91,52,40,109,23,22,29,0,0,963.00,33.76,779.00,27,15,10,5,0,15
99213d64337b43ee918c5bfaa0f8a1e0,1e0dd241cac940529bccaa127cada105,"illushxn",10,1,0,636.22,3,92,43,29,20,62,4,8,18,0,0,450.00,15.78,335.00,14,8,4,4,0,8
99213d64337b43ee918c5bfaa0f8a1e0,7ee303d05775482e8ed53457851c93ba,"wtj eshou 2",8,0,0,1541.00,11,227,66,88,73,128,34,24,41,0,0,602.00,21.11,401.00,17,33,15,16,2,33
99213d64337b43ee918c5bfaa0f8a1e0,b2af164ae4e041b7b8187d60f5dce372,"1up top flo",44,0,0,1516.70,11,71,47,16,8,36,8,16,11,0,0,758.00,26.58,424.00,24,23,14,6,3,23
99213d64337b43ee918c5bfaa0f8a1e0,1b34b2109d474c18b6b0d006e8ac5f86,"chief bac",30,2,0,1544.51,11,258,138,81,39,143,34,34,47,0,0,829.00,29.07,376.00,19,42,28,12,2,42
99213d64337b43ee918c5bfaa0f8a1e0,6f29ff7f006140dabccc9c18d5c8db42,"golden 2ǃ",31,0,0,236.69,1,25,10,12,3,13,4,3,5,0,0,0.00,0.00,136.00,0,3,2,0,1,3
99213d64337b43ee918c5bfaa0f8a1e0,43e0c2e91ebc403ca02f13485f0cb0cd,"blanckzǃ",46,0,0,76.29,0,3,3,0,0,3,0,0,0,0,0,66.00,2.31,117.00,3,2,0,2,0,2
99213d64337b43ee918c5bfaa0f8a1e0,d6e651d508004eaeaf16dc434b0b41e7,"wtj xavi fvǃ",35,2,0,794.99,4,248,95,103,50,132,48,27,41,0,0,845.00,29.63,555.00,20,18,13,5,0,18
99213d64337b43ee918c5bfaa0f8a1e0,419c636586af49f2886a97a3cfef22d3,"Xen Rаpidǃ",14,3,0,1567.93,12,411,133,196,82,157,91,54,109,0,0,532.00,18.65,501.00,13,12,7,5,0,12
99213d64337b43ee918c5bfaa0f8a1e0,0a01119932254a50b6ca8018c260edef,"gluesticklicker3",16,0,0,229.42,1,51,20,30,1,32,6,7,6,0,0,222.00,7.78,247.00,5,2,1,1,0,2
99213d64337b43ee918c5bfaa0f8a1e0,a46c3a48d0554aaf8fa2a068e0e711a0,"Not Hellfire",9,1,0,864.37,4,156,59,59,38,79,30,18,29,0,0,218.00,7.64,682.00,7,4,2,2,0,4
99213d64337b43ee918c5bfaa0f8a1e0,19c50825eca14df19ddfc82c0f1b29b5,"cvx khor",38,1,0,1012.15,5,364,123,137,104,172,53,65,74,0,0,583.00,20.44,328.00,11,26,14,11,1,26
99213d64337b43ee918c5bfaa0f8a1e0,928dad76b83d46069914f80b11225e09,"pаrz",30,1,0,1543.94,11,286,115,100,71,133,57,34,62,0,0,448.00,15.71,429.00,15,43,22,18,3,43
