BlueprintClass,HitCount,UniquePlayersHit,EstimatedMaterialType,ArchetypePath,FirstHitTime,LastHitTime
"BP_Hermes_Katsura_Tree_A_C",131,56,"Wood","BP_Hermes_Katsura_Tree_A_C_UAID_387C764928FBAA2A02_2109996147",813.5,2180.4
"BP_Hermes_Rock_Default_Medium_D_A_C",98,46,"Stone","BP_Hermes_Rock_Default_Medium_D_A_C_UAID_387C76492BFDE62602_1167570467",816.2,1972.7
"BP_Hermes_Rock_Default_Large_C_A_C",93,54,"Stone","BP_Hermes_Rock_Default_Large_C_A_C_UAID_E04F43E66926C92802_d3bb941ae36596c0_1219518324",740.9,1941.5
"BP_Hermes_BlackPine_Tree_A_C",61,39,"Wood","BP_Hermes_BlackPine_Tree_A_C_UAID_E04F43E65CE8CE2702_d3bb941ae36596c0_1712341956",752.1,1932.0
"BP_Hermes_Rock_Default_Medium_C_A_C",50,37,"Stone","BP_Hermes_Rock_Default_Medium_C_A_C_UAID_E04F43E65CE8992802_d3bb941ae36596c0_1733981838",750.5,1925.6
"BP_Hermes_Rock_Default_Small_B_A_C",40,25,"Stone","BP_Hermes_Rock_Default_Small_B_A_C_UAID_4CD717A865382D8502_06e13a9d786b0d0d_1734010039",808.7,1925.6
"BP_Hermes_Rock_Default_Large_A_A_C",39,32,"Stone","BP_Hermes_Rock_Default_Large_A_A_C_UAID_E04F43E6555A047E02_1870082572",820.5,1706.0
"BP_Hermes_HornBeam_Tree_A_C",36,31,"Wood","BP_Hermes_HornBeam_Tree_A_C_UAID_387C764928FBFA2902_1196681900",845.6,2064.3
"BP_Hermes_Rock_Default_Small_A_A_C",28,22,"Stone","BP_Hermes_Rock_Default_Small_A_A_C_UAID_4CD717A86538647502_1569375988",807.8,1661.7
"BP_Hermes_RockPile_Default_Medium_B_A_C",26,22,"Stone","BP_Hermes_RockPile_Default_Medium_B_A_C_UAID_4CD717A865387D8502_06e13a9d786b0d0d_1330437096",836.8,1803.2
"BP_Industrial_ShippingContainer_A_B_C",23,22,"Metal","BP_Industrial_ShippingContainer_A_B_C_UAID_02F13BB20623E62502_6364832f59b667c2_1774826049",856.3,1800.7
"BP_Asteria_DarkPine_Tree_C",21,18,"Wood","BP_Asteria_DarkPine_Tree_C_UAID_0017B600BFD5651902_1480741077",848.8,1583.5
"BP_Hermes_Larch_Tree_A_A_C",21,16,"Wood","BP_Hermes_Larch_Tree_A_A_C_UAID_4CD717A86538315802_1440191172",852.2,1370.2
"BP_Hermes_Beech_Tree_A_C",21,18,"Wood","BP_Hermes_Beech_Tree_A_C_UAID_E04F43E65F9E452B02_1863920405",854.5,1174.2
"BP_Asteria_PIne_Tree_1_Snow_C",20,18,"Wood","BP_Asteria_PIne_Tree_1_Snow_C_UAID_ACB48040BEA1E78F02_1686713474",842.9,1404.2
"BP_Hermes_Katsura_Tree_B_Mossy_C",19,16,"Wood","BP_Hermes_Katsura_Tree_B_Mossy_C_UAID_E04F43E65CE8AB2A02_d3bb941ae36596c0_1542969096",748.2,1340.6
"BP_Hermes_Jacaranda_Tree_A_C",19,15,"Wood","BP_Hermes_Jacaranda_Tree_A_C_UAID_387C76492A41E88E02_1493016513",874.9,1232.0
"BP_Street_FenceMetalNoSnap_A_C",19,18,"Wood","BP_Street_FenceMetalNoSnap_A_C_UAID_387C76492BFDFE2A02_1956668947",1250.5,2250.3
"BP_Hermes_DogWood_Tree_A_C",17,14,"Wood","BP_Hermes_DogWood_Tree_A_C_UAID_E04F43E622E9842702_1713366277",814.9,1245.3
"BP_Street_FenceMetal_A_C",17,16,"Wood","BP_Street_FenceMetal_A_C_UAID_E04F43E65F9ED62102_1179031220",978.0,1016.2
